"Year","Week","Player Name","Team","Position","League Exp.","OVM"
"2022","OVERALL","Tom Brady","TB","QB","23","22.29"
"2022","Week 01","Tom Brady","TB","QB","23","33"
"2022","Week 02","Tom Brady","TB","QB","23","15.12"
"2022","Week 03","Tom Brady","TB","QB","23","26.67"
"2022","Week 04","Tom Brady","TB","QB","23","26.18"
"2022","Week 05","Tom Brady","TB","QB","23","18.6"
"2022","Week 06","Tom Brady","TB","QB","23","25.44"
"2022","Week 07","Tom Brady","TB","QB","23","17.92"
"2022","Week 08","Tom Brady","TB","QB","23","19.28"
"2021","Overall","Tom Brady","TB","QB","22","23.76"
"2021","Week 01","Tom Brady","TB","QB","22","27.63"
"2021","Week 02","Tom Brady","TB","QB","22","25.38"
"2021","Week 03","Tom Brady","TB","QB","22","23.92"
"2021","Week 04","Tom Brady","TB","QB","22","19.71"
"2021","Week 05","Tom Brady","TB","QB","22","33.95"
"2021","Week 06","Tom Brady","TB","QB","22","24.3"
"2021","Week 07","Tom Brady","TB","QB","22","27.23"
"2021","Week 08","Tom Brady","TB","QB","22","22.99"
"2021","Week 10","Tom Brady","TB","QB","22","12.83"
"2021","Week 11","Tom Brady","TB","QB","22","21.29"
"2021","Week 12","Tom Brady","TB","QB","22","12.24"
"2021","Week 13","Tom Brady","TB","QB","22","25.22"
"2021","Week 14","Tom Brady","TB","QB","22","20.13"
"2021","Week 15","Tom Brady","TB","QB","22","12.23"
"2021","Week 16","Tom Brady","TB","QB","22","27.54"
"2021","Week 17","Tom Brady","TB","QB","22","34.33"
"2021","Week 18","Tom Brady","TB","QB","22","31.4"
"2021","Wk1-Postseason Wild Card","Tom Brady","TB","QB","22","26.92"
"2021","Wk2-Postseason Divisional","Tom Brady","TB","QB","22","14.27"
"2020","Overall","Tom Brady","TB","QB","21","29.34"
"2020","Week 01","Tom Brady","TB","QB","21","26.68"
"2020","Week 02","Tom Brady","TB","QB","21","15.65"
"2020","Week 03","Tom Brady","TB","QB","21","27.58"
"2020","Week 04","Tom Brady","TB","QB","21","33.19"
"2020","Week 05","Tom Brady","TB","QB","21","23.73"
"2020","Week 06","Tom Brady","TB","QB","21","23.42"
"2020","Week 07","Tom Brady","TB","QB","21","40.18"
"2020","Week 08","Tom Brady","TB","QB","21","26.61"
"2020","Week 09","Tom Brady","TB","QB","21","17.16"
"2020","Week 10","Tom Brady","TB","QB","21","30.77"
"2020","Week 11","Tom Brady","TB","QB","21","18.24"
"2020","Week 12","Tom Brady","TB","QB","21","38.96"
"2020","Week 14","Tom Brady","TB","QB","21","35.61"
"2020","Week 15","Tom Brady","TB","QB","21","28"
"2020","Week 16","Tom Brady","TB","QB","21","56.04"
"2020","Week 17","Tom Brady","TB","QB","21","31.59"
"2020","Wk1-Postseason Wild Card","Tom Brady","TB","QB","21","34.79"
"2020","Wk2-Postseason Divisional","Tom Brady","TB","QB","21","22.53"
"2020","Wk3-Postseason Conference","Tom Brady","TB","QB","21","32.89"
"2020","Wk4-Postseason Super Bowl","Tom Brady","TB","QB","21","17.28"
"2019","Overall","Tom Brady","NE","QB","20","19.69"
"2019","Week 01","Tom Brady","NE","QB","20","27.36"
"2019","Week 02","Tom Brady","NE","QB","20","39.45"
"2019","Week 03","Tom Brady","NE","QB","20","27.14"
"2019","Week 04","Tom Brady","NE","QB","20","6.73"
"2019","Week 05","Tom Brady","NE","QB","20","25.45"
"2019","Week 06","Tom Brady","NE","QB","20","21.13"
"2019","Week 07","Tom Brady","NE","QB","20","16.7"
"2019","Week 08","Tom Brady","NE","QB","20","27.53"
"2019","Week 09","Tom Brady","NE","QB","20","16.4"
"2019","Week 11","Tom Brady","NE","QB","20","5.55"
"2019","Week 12","Tom Brady","NE","QB","20","23.94"
"2019","Week 13","Tom Brady","NE","QB","20","19.75"
"2019","Week 14","Tom Brady","NE","QB","20","8.49"
"2019","Week 15","Tom Brady","NE","QB","20","2.76"
"2019","Week 16","Tom Brady","NE","QB","20","27.3"
"2019","Week 17","Tom Brady","NE","QB","20","22.24"
"2019","Wk1-Postseason Wild Card","Tom Brady","NE","QB","20","4.56"
"2018","Overall","Tom Brady","NE","QB","19","22.45"
"2018","Week 01","Tom Brady","NE","QB","19","30.72"
"2018","Week 02","Tom Brady","NE","QB","19","20.48"
"2018","Week 03","Tom Brady","NE","QB","19","18.18"
"2018","Week 04","Tom Brady","NE","QB","19","18.57"
"2018","Week 05","Tom Brady","NE","QB","19","18.94"
"2018","Week 06","Tom Brady","NE","QB","19","30.85"
"2018","Week 07","Tom Brady","NE","QB","19","23.21"
"2018","Week 08","Tom Brady","NE","QB","19","24.53"
"2018","Week 09","Tom Brady","NE","QB","19","18.35"
"2018","Week 10","Tom Brady","NE","QB","19","20.37"
"2018","Week 12","Tom Brady","NE","QB","19","30.14"
"2018","Week 13","Tom Brady","NE","QB","19","15.58"
"2018","Week 14","Tom Brady","NE","QB","19","27.37"
"2018","Week 15","Tom Brady","NE","QB","19","23.04"
"2018","Week 16","Tom Brady","NE","QB","19","0.85"
"2018","Week 17","Tom Brady","NE","QB","19","32.27"
"2018","Wk2-Postseason Divisional","Tom Brady","NE","QB","19","20.53"
"2018","Wk3-Postseason Conference","Tom Brady","NE","QB","19","30.02"
"2018","Wk4-Postseason Super Bowl","Tom Brady","NE","QB","19","18.88"
"2017","Overall","Tom Brady","NE","QB","18","26.64"
"2017","Week 01","Tom Brady","NE","QB","18","26.34"
"2017","Week 02","Tom Brady","NE","QB","18","38.8"
"2017","Week 03","Tom Brady","NE","QB","18","38.05"
"2017","Week 04","Tom Brady","NE","QB","18","22.01"
"2017","Week 05","Tom Brady","NE","QB","18","25.9"
"2017","Week 06","Tom Brady","NE","QB","18","29.28"
"2017","Week 07","Tom Brady","NE","QB","18","31.06"
"2017","Week 08","Tom Brady","NE","QB","18","18.7"
"2017","Week 10","Tom Brady","NE","QB","18","37.38"
"2017","Week 11","Tom Brady","NE","QB","18","30.27"
"2017","Week 12","Tom Brady","NE","QB","18","21.92"
"2017","Week 13","Tom Brady","NE","QB","18","28.33"
"2017","Week 14","Tom Brady","NE","QB","18","16.6"
"2017","Week 15","Tom Brady","NE","QB","18","33.03"
"2017","Week 16","Tom Brady","NE","QB","18","22.48"
"2017","Week 17","Tom Brady","NE","QB","18","8.57"
"2017","Wk2-Postseason Divisional","Tom Brady","NE","QB","18","20.07"
"2017","Wk3-Postseason Conference","Tom Brady","NE","QB","18","34.02"
"2017","Wk4-Postseason Super Bowl","Tom Brady","NE","QB","18","36.07"
"2016","Overall","Tom Brady","NE","QB","17","29.03"
"2016","Week 05","Tom Brady","NE","QB","17","34.48"
"2016","Week 06","Tom Brady","NE","QB","17","29.17"
"2016","Week 07","Tom Brady","NE","QB","17","27.06"
"2016","Week 08","Tom Brady","NE","QB","17","31.2"
"2016","Week 10","Tom Brady","NE","QB","17","40.13"
"2016","Week 11","Tom Brady","NE","QB","17","17.01"
"2016","Week 12","Tom Brady","NE","QB","17","19.24"
"2016","Week 13","Tom Brady","NE","QB","17","33.39"
"2016","Week 14","Tom Brady","NE","QB","17","33.07"
"2016","Week 15","Tom Brady","NE","QB","17","19.86"
"2016","Week 16","Tom Brady","NE","QB","17","47.29"
"2016","Week 17","Tom Brady","NE","QB","17","25.56"
"2016","Wk2-Postseason Divisional","Tom Brady","NE","QB","17","35.08"
"2016","Wk3-Postseason Conference","Tom Brady","NE","QB","17","25.82"
"2016","Wk4-Postseason Super Bowl","Tom Brady","NE","QB","17","38.63"
